month,ncb,programme,holdings_eur_m
2019-09-01,DE,PSPP,518107
2019-10-01,DE,PSPP,520771
2019-11-01,DE,PSPP,526404
2019-12-01,DE,PSPP,527833
2020-01-01,DE,PSPP,528291
2020-02-01,DE,PSPP,531292
2020-03-01,DE,PSPP,533338
2020-04-01,DE,PSPP,533966
2020-05-01,DE,PSPP,540587
2020-06-01,DE,PSPP,540925
2020-07-01,DE,PSPP,546751
2020-08-01,DE,PSPP,550964
2020-09-01,DE,PSPP,554901
2020-10-01,DE,PSPP,562110
2020-11-01,DE,PSPP,575250
2020-12-01,DE,PSPP,580316
2021-01-01,DE,PSPP,580062
2021-02-01,DE,PSPP,588284
2021-03-01,DE,PSPP,593087
2021-04-01,DE,PSPP,599087
2021-05-01,DE,PSPP,605537
2021-06-01,DE,PSPP,609539
2021-07-01,DE,PSPP,614148
2021-08-01,DE,PSPP,618091
2021-09-01,DE,PSPP,619843
2021-10-01,DE,PSPP,623470
2021-11-01,DE,PSPP,632256
2021-12-01,DE,PSPP,634906
2022-01-01,DE,PSPP,636912
2022-02-01,DE,PSPP,640707
2022-03-01,DE,PSPP,644981
2022-04-01,DE,PSPP,656048
2022-05-01,DE,PSPP,666573
2022-06-01,DE,PSPP,666732
2022-07-01,DE,PSPP,663083
2022-08-01,DE,PSPP,664288
2022-09-01,DE,PSPP,662419
2022-10-01,DE,PSPP,665595
2022-11-01,DE,PSPP,668300
2022-12-01,DE,PSPP,665595
2023-01-01,DE,PSPP,668313
2023-02-01,DE,PSPP,665151
2023-03-01,DE,PSPP,661592
2023-04-01,DE,PSPP,652218
2023-05-01,DE,PSPP,649485
2023-06-01,DE,PSPP,641693
2023-07-01,DE,PSPP,641144
2023-08-01,DE,PSPP,632834
2023-09-01,DE,PSPP,625476
2023-10-01,DE,PSPP,619957
2023-11-01,DE,PSPP,616789
2023-12-01,DE,PSPP,613937
2024-01-01,DE,PSPP,607684
2024-02-01,DE,PSPP,599603
2024-03-01,DE,PSPP,595483
2024-04-01,DE,PSPP,584892
2024-05-01,DE,PSPP,575801
2024-06-01,DE,PSPP,569673
2024-07-01,DE,PSPP,566581
2024-08-01,DE,PSPP,558768
2024-09-01,DE,PSPP,555561
2024-10-01,DE,PSPP,545698
2024-11-01,DE,PSPP,543732
2024-12-01,DE,PSPP,541692
2025-01-01,DE,PSPP,537194
2025-02-01,DE,PSPP,525355
2025-03-01,DE,PSPP,520350
2025-04-01,DE,PSPP,510573
2025-05-01,DE,PSPP,508972
2025-06-01,DE,PSPP,504821
2025-07-01,DE,PSPP,504404
2025-08-01,DE,PSPP,494502
2025-09-01,DE,PSPP,492141
2025-10-01,DE,PSPP,483585
2025-11-01,DE,PSPP,482078
2025-12-01,DE,PSPP,481994
2026-01-01,DE,PSPP,480694
2026-02-01,DE,PSPP,470830
2026-03-01,DE,PSPP,466277
2026-04-01,DE,PSPP,450039
2026-05-01,DE,PSPP,448841
2026-06-01,DE,PSPP,446016
2026-07-01,DE,PSPP,444741
2026-08-01,DE,PSPP,435323
2015-03-01,EE,PSPP,0
2015-04-01,EE,PSPP,0
2015-05-01,EE,PSPP,0
2015-06-01,EE,PSPP,5
2015-07-01,EE,PSPP,20
2015-08-01,EE,PSPP,30
2015-09-01,EE,PSPP,38
2015-10-01,EE,PSPP,41
2015-11-01,EE,PSPP,48
2015-12-01,EE,PSPP,48
2016-01-01,EE,PSPP,54
2016-02-01,EE,PSPP,61
2016-03-01,EE,PSPP,61
2016-04-01,EE,PSPP,66
2016-05-01,EE,PSPP,66
2016-06-01,EE,PSPP,66
2016-07-01,EE,PSPP,66
2016-08-01,EE,PSPP,66
2016-09-01,EE,PSPP,66
2016-10-01,EE,PSPP,66
2016-11-01,EE,PSPP,66
2016-12-01,EE,PSPP,66
2017-01-01,EE,PSPP,66
2017-02-01,EE,PSPP,66
2017-03-01,EE,PSPP,66
2017-04-01,EE,PSPP,66
2017-05-01,EE,PSPP,66
2017-06-01,EE,PSPP,66
2017-07-01,EE,PSPP,66
2017-08-01,EE,PSPP,66
2017-09-01,EE,PSPP,66
2017-10-01,EE,PSPP,66
2017-11-01,EE,PSPP,66
2017-12-01,EE,PSPP,66
2018-01-01,EE,PSPP,66
2018-02-01,EE,PSPP,66
2018-03-01,EE,PSPP,66
2018-04-01,EE,PSPP,66
2018-05-01,EE,PSPP,66
2018-06-01,EE,PSPP,66
2018-07-01,EE,PSPP,8
2018-08-01,EE,PSPP,8
2018-09-01,EE,PSPP,8
2018-10-01,EE,PSPP,8
2018-11-01,EE,PSPP,8
2018-12-01,EE,PSPP,8
2019-01-01,EE,PSPP,8
2019-02-01,EE,PSPP,8
2019-03-01,EE,PSPP,8
2019-04-01,EE,PSPP,8
2019-05-01,EE,PSPP,8
2019-06-01,EE,PSPP,8
2019-07-01,EE,PSPP,8
2019-08-01,EE,PSPP,8
2019-09-01,EE,PSPP,8
2019-10-01,EE,PSPP,8
2019-11-01,EE,PSPP,8
2019-12-01,EE,PSPP,8
2020-01-01,EE,PSPP,8
2020-02-01,EE,PSPP,8
2020-03-01,EE,PSPP,8
2020-04-01,EE,PSPP,8
2020-05-01,EE,PSPP,8
2020-06-01,EE,PSPP,108
2020-07-01,EE,PSPP,148
2020-08-01,EE,PSPP,185
2020-09-01,EE,PSPP,224
2020-10-01,EE,PSPP,225
2020-11-01,EE,PSPP,263
2020-12-01,EE,PSPP,282
2021-01-01,EE,PSPP,303
2021-02-01,EE,PSPP,324
2021-03-01,EE,PSPP,351
2021-04-01,EE,PSPP,372
2021-05-01,EE,PSPP,388
2021-06-01,EE,PSPP,398
2021-07-01,EE,PSPP,398
2021-08-01,EE,PSPP,400
2021-09-01,EE,PSPP,404
2021-10-01,EE,PSPP,407
2021-11-01,EE,PSPP,409
2021-12-01,EE,PSPP,409
2022-01-01,EE,PSPP,413
2022-02-01,EE,PSPP,415
2022-03-01,EE,PSPP,415
2022-04-01,EE,PSPP,430
2022-05-01,EE,PSPP,439
2022-06-01,EE,PSPP,446
2022-07-01,EE,PSPP,446
2022-08-01,EE,PSPP,446
2022-09-01,EE,PSPP,447
2022-10-01,EE,PSPP,489
2022-11-01,EE,PSPP,533
2022-12-01,EE,PSPP,565
2023-01-01,EE,PSPP,586
2023-02-01,EE,PSPP,606
2023-03-01,EE,PSPP,606
2023-04-01,EE,PSPP,606
2023-05-01,EE,PSPP,606
2023-06-01,EE,PSPP,606
2023-07-01,EE,PSPP,606
2023-08-01,EE,PSPP,606
2023-09-01,EE,PSPP,606
2023-10-01,EE,PSPP,606
2023-11-01,EE,PSPP,606
2023-12-01,EE,PSPP,606
2024-01-01,EE,PSPP,606
2024-02-01,EE,PSPP,606
2024-03-01,EE,PSPP,606
2024-04-01,EE,PSPP,606
2024-05-01,EE,PSPP,606
2024-06-01,EE,PSPP,606
2024-07-01,EE,PSPP,606
2024-08-01,EE,PSPP,606
2024-09-01,EE,PSPP,606
2024-10-01,EE,PSPP,606
2024-11-01,EE,PSPP,606
2024-12-01,EE,PSPP,606
2025-01-01,EE,PSPP,606
2025-02-01,EE,PSPP,606
2025-03-01,EE,PSPP,606
2025-04-01,EE,PSPP,606
2025-05-01,EE,PSPP,606
2025-06-01,EE,PSPP,606
2025-07-01,EE,PSPP,606
2025-08-01,EE,PSPP,606
2025-09-01,EE,PSPP,606
2025-10-01,EE,PSPP,606
2025-11-01,EE,PSPP,606
2025-12-01,EE,PSPP,606
2026-01-01,EE,PSPP,606
2026-02-01,EE,PSPP,606
2026-03-01,EE,PSPP,606
2026-04-01,EE,PSPP,606
2026-05-01,EE,PSPP,606
2026-06-01,EE,PSPP,606
2026-07-01,EE,PSPP,606
2026-08-01,EE,PSPP,606
2015-03-01,ES,PSPP,5447
2015-04-01,ES,PSPP,10918
2015-05-01,ES,PSPP,16827
2015-06-01,ES,PSPP,22742
2015-07-01,ES,PSPP,28633
2015-08-01,ES,PSPP,33515
2015-09-01,ES,PSPP,39304
2015-10-01,ES,PSPP,45346
2015-11-01,ES,PSPP,51680
2015-12-01,ES,PSPP,56817
2016-01-01,ES,PSPP,62924
2016-02-01,ES,PSPP,69049
2016-03-01,ES,PSPP,75160
2016-04-01,ES,PSPP,84478
2016-05-01,ES,PSPP,94097
2016-06-01,ES,PSPP,103335
2016-07-01,ES,PSPP,111788
2016-08-01,ES,PSPP,117900
2016-09-01,ES,PSPP,126387
2016-10-01,ES,PSPP,135214
2016-11-01,ES,PSPP,143675
2016-12-01,ES,PSPP,150331
2017-01-01,ES,PSPP,159120
2017-02-01,ES,PSPP,167487
2017-03-01,ES,PSPP,175946
2017-04-01,ES,PSPP,182545
2017-05-01,ES,PSPP,188588
2017-06-01,ES,PSPP,194779
2017-07-01,ES,PSPP,201091
2017-08-01,ES,PSPP,206177
2017-09-01,ES,PSPP,212288
2017-10-01,ES,PSPP,218298
2017-11-01,ES,PSPP,224284
2017-12-01,ES,PSPP,230250
2018-01-01,ES,PSPP,232905
2018-02-01,ES,PSPP,235729
2018-03-01,ES,PSPP,238487
2018-04-01,ES,PSPP,241590
2018-05-01,ES,PSPP,244419
2018-06-01,ES,PSPP,247510
2018-07-01,ES,PSPP,250701
2018-08-01,ES,PSPP,253503
2018-09-01,ES,PSPP,256544
2018-10-01,ES,PSPP,256670
2018-11-01,ES,PSPP,259204
2018-12-01,ES,PSPP,260821
2019-01-01,ES,PSPP,257742
2019-02-01,ES,PSPP,258573
2019-03-01,ES,PSPP,259229
2019-04-01,ES,PSPP,255007
2019-05-01,ES,PSPP,256623
2019-06-01,ES,PSPP,257038
2019-07-01,ES,PSPP,255109
2019-08-01,ES,PSPP,255650
2019-09-01,ES,PSPP,256050
2019-10-01,ES,PSPP,255465
2019-11-01,ES,PSPP,258423
2019-12-01,ES,PSPP,259002
2020-01-01,ES,PSPP,259203
2020-02-01,ES,PSPP,261209
2020-03-01,ES,PSPP,266616
2020-04-01,ES,PSPP,270892
2020-05-01,ES,PSPP,275970
2020-06-01,ES,PSPP,281396
2020-07-01,ES,PSPP,279515
2020-08-01,ES,PSPP,280702
2020-09-01,ES,PSPP,284515
2020-10-01,ES,PSPP,288271
2020-11-01,ES,PSPP,290758
2020-12-01,ES,PSPP,292880
2021-01-01,ES,PSPP,294999
2021-02-01,ES,PSPP,292369
2021-03-01,ES,PSPP,293850
2021-04-01,ES,PSPP,296991
2021-05-01,ES,PSPP,299019
2021-06-01,ES,PSPP,301766
2021-07-01,ES,PSPP,298256
2021-08-01,ES,PSPP,299457
2021-09-01,ES,PSPP,302218
2021-10-01,ES,PSPP,305247
2021-11-01,ES,PSPP,303516
2021-12-01,ES,PSPP,305332
2022-01-01,ES,PSPP,304288
2022-02-01,ES,PSPP,305585
2022-03-01,ES,PSPP,307664
2022-04-01,ES,PSPP,314676
2022-05-01,ES,PSPP,312269
2022-06-01,ES,PSPP,315066
2022-07-01,ES,PSPP,316793
2022-08-01,ES,PSPP,316826
2022-09-01,ES,PSPP,318672
2022-10-01,ES,PSPP,315038
2022-11-01,ES,PSPP,315703
