month,ncb,programme,wam_years
2017-09-01,LT,PSPP,6.91
2017-09-01,LU,PSPP,5.69
2017-09-01,LV,PSPP,7.82
2017-09-01,MT,PSPP,10.81
2017-09-01,NL,PSPP,7.58
2017-09-01,PT,PSPP,8.55
2017-09-01,SI,PSPP,9.69
2017-09-01,SK,PSPP,8.17
2017-10-01,AT,PSPP,9.14
2017-10-01,BE,PSPP,10.16
2017-10-01,CY,PSPP,4.36
2017-10-01,DE,PSPP,6.74
2017-10-01,EE,PSPP,0.7
2017-10-01,ES,PSPP,8.42
2017-10-01,FI,PSPP,7.47
2017-10-01,FR,PSPP,7.79
2017-10-01,IE,PSPP,9.35
2017-10-01,IT,PSPP,8.24
2017-10-01,LT,PSPP,6.88
2017-10-01,LU,PSPP,5.66
2017-10-01,LV,PSPP,7.74
2017-10-01,MT,PSPP,10.76
2017-10-01,NL,PSPP,7.53
2017-10-01,PT,PSPP,8.48
2017-10-01,SI,PSPP,10.25
2017-10-01,SK,PSPP,8.37
2017-11-01,AT,PSPP,9.14
2017-11-01,BE,PSPP,10.04
2017-11-01,CY,PSPP,4.28
2017-11-01,DE,PSPP,6.66
2017-11-01,EE,PSPP,0.61
2017-11-01,ES,PSPP,8.34
2017-11-01,FI,PSPP,7.36
2017-11-01,FR,PSPP,7.79
2017-11-01,IE,PSPP,9.31
2017-11-01,IT,PSPP,8.16
2017-11-01,LT,PSPP,6.84
2017-11-01,LU,PSPP,5.63
2017-11-01,LV,PSPP,7.69
2017-11-01,MT,PSPP,11.5
2017-11-01,NL,PSPP,7.47
2017-11-01,PT,PSPP,8.4
2017-11-01,SI,PSPP,10.28
2017-11-01,SK,PSPP,8.4
2017-12-01,AT,PSPP,9.08
2017-12-01,BE,PSPP,9.98
2017-12-01,CY,PSPP,4.2
2017-12-01,DE,PSPP,6.56
2017-12-01,EE,PSPP,0.53
2017-12-01,ES,PSPP,8.27
2017-12-01,FI,PSPP,7.3
2017-12-01,FR,PSPP,7.76
2017-12-01,IE,PSPP,9.2
2017-12-01,IT,PSPP,8.11
2017-12-01,LT,PSPP,6.83
2017-12-01,LU,PSPP,5.66
2017-12-01,LV,PSPP,7.6
2017-12-01,MT,PSPP,11.52
2017-12-01,NL,PSPP,7.42
2017-12-01,PT,PSPP,8.31
2017-12-01,SI,PSPP,10.33
2017-12-01,SK,PSPP,8.41
2018-01-01,AT,PSPP,8.97
2018-01-01,BE,PSPP,9.87
2018-01-01,CY,PSPP,4.11
2018-01-01,DE,PSPP,6.48
2018-01-01,EE,PSPP,0.44
2018-01-01,ES,PSPP,8.25
2018-01-01,FI,PSPP,7.23
2018-01-01,FR,PSPP,7.7
2018-01-01,IE,PSPP,9.13
2018-01-01,IT,PSPP,8.09
2018-01-01,LT,PSPP,6.83
2018-01-01,LU,PSPP,5.62
2018-01-01,LV,PSPP,7.77
2018-01-01,MT,PSPP,11.45
2018-01-01,NL,PSPP,7.45
2018-01-01,PT,PSPP,8.23
2018-01-01,SI,PSPP,10.39
2018-01-01,SK,PSPP,8.45
2018-02-01,AT,PSPP,8.91
2018-02-01,BE,PSPP,9.75
2018-02-01,CY,PSPP,4.03
2018-02-01,DE,PSPP,6.46
2018-02-01,EE,PSPP,0.37
2018-02-01,ES,PSPP,8.21
2018-02-01,FI,PSPP,7.18
2018-02-01,FR,PSPP,7.67
2018-02-01,IE,PSPP,9.05
2018-02-01,IT,PSPP,8.04
2018-02-01,LT,PSPP,8.25
2018-02-01,LU,PSPP,5.57
2018-02-01,LV,PSPP,7.69
2018-02-01,MT,PSPP,11.38
2018-02-01,NL,PSPP,7.39
2018-02-01,PT,PSPP,8.19
2018-02-01,SI,PSPP,10.4
2018-02-01,SK,PSPP,8.46
2018-03-01,AT,PSPP,8.82
2018-03-01,BE,PSPP,9.75
2018-03-01,CY,PSPP,3.95
2018-03-01,DE,PSPP,6.41
